Joao Silva, portador do CPF 123.456.789-00, residente em Rua das Flores,123," doravante denominado ""Socio 1""", detentor de 20 cotas.
Maria Souza, portadora do CPF 987.654.321-00, residente em Avenida dos Anjos,456," doravante denominada ""Socio 2""", detentora de 15 cotas.
Carlos Oliveira, portador do CPF 234.567.890-11, residente em Praia Central,789," doravante denominado ""Socio 3""", detentor de 10 cotas.
Ana Santos, portadora do CPF 876.543.210-11, residente em Alameda das Estrelas,567," doravante denominada ""Socio 4""", detentora de 8 cotas.
Pedro Costa, portador do CPF 345.678.901-22, residente em Travessa das Avenidas,321," doravante denominado ""Socio 5""", detentor de 6 cotas.
Laura Ferreira, portadora do CPF 789.012.345-22, residente em Rua dos Passaros,987," doravante denominada ""Socio 6""", detentora de 5 cotas.
Rafael Mendes, portador do CPF 456.789.012-33, residente em Avenida dos Girasscis,654," doravante denominado ""Socio 7""", detentor de 4 cotas.
Paula Lima, portadora do CPF 901.234.567-33, residente em Alameda dos Rios,789," doravante denominada ""Socio 8""", detentora de 3 cotas.
Jose Almeida, portador do CPF 567.890.123-44, residente em Rua das Montanhas,123," doravante denominado ""Socio 9""", detentor de 2 cotas.
Marina Oliveira, portadora do CPF 012.345.678-44, residente em Praia dos Lagos,456," doravante denominada ""Socio 10""", detentora de 1 cota.
